EntityId,EntityName,WugType,WugRegion,WugCounty,EntityIsSplit,D2020,D2030,D2040,D2050,D2060,D2070
100,MOUNT PLEASANT,MUNICIPAL,D,TITUS,N,3918,4334,4780,5299,5871,6481
101,MUSTANG SUD,MUNICIPAL,C,DENTON,N,1875,3527,5190,6856,8526,10196
102,NACOGDOCHES,MUNICIPAL,I,NACOGDOCHES,N,6742,7376,8027,8781,9638,10545
103,NORTH ALAMO WSC,MUNICIPAL,M,CAMERON,Y,79,90,102,115,129,144
103,NORTH ALAMO WSC,MUNICIPAL,M,HIDALGO,Y,24015,29240,34598,40064,45625,51069
103,NORTH ALAMO WSC,MUNICIPAL,M,WILLACY,Y,987,1091,1197,1315,1432,1548
106,NORTH HARRIS COUNTY REGIONAL WATER AUTHORITY,MUNICIPAL,H,HARRIS,N,123598,129683,134863,139655,144379,148850
107,NORTH RICHLAND HILLS,MUNICIPAL,C,TARRANT,N,12733,13375,13172,13059,13036,13034
111,ODESSA,MUNICIPAL,F,ECTOR,Y,22049,24295,26774,29481,32384,35344
111,ODESSA,MUNICIPAL,F,MIDLAND,Y,433,531,626,724,825,925
115,PARIS,MUNICIPAL,D,LAMAR,N,2964,2947,2923,2938,2982,3025
117,PASADENA,MUNICIPAL,H,HARRIS,N,22829,22798,22864,23169,23720,24343
118,PORT ARTHUR,MUNICIPAL,I,JEFFERSON,Y,19805,19775,19548,19501,19482,19481
118,PORT ARTHUR,MUNICIPAL,I,ORANGE,Y,2,2,2,2,2,2
121,ROCKETT SUD,MUNICIPAL,C,DALLAS,Y,115,220,323,427,532,638
121,ROCKETT SUD,MUNICIPAL,C,ELLIS,Y,3756,4621,5678,6963,9043,11160
122,ROCKWALL,MUNICIPAL,C,ROCKWALL,N,8914,11049,13526,16057,18911,21947
123,ROUND ROCK,MUNICIPAL,G,WILLIAMSON,Y,24148,29808,37049,44943,53991,63377
123,ROUND ROCK,MUNICIPAL,K,TRAVIS,Y,265,301,336,377,414,448
125,SAN ANGELO,MUNICIPAL,F,TOM GREEN,N,18244,20002,20851,21930,23240,24665
126,SAN ANTONIO,MUNICIPAL,L,BEXAR,Y,235320,258645,280772,303790,326624,347849
126,SAN ANTONIO,MUNICIPAL,L,MEDINA,Y,9,12,16,19,21,24
129,SEGUIN,MUNICIPAL,L,GUADALUPE,N,4707,5494,6326,7175,8077,8970
130,SEAGOVILLE,MUNICIPAL,C,DALLAS,Y,2058,2409,2774,3156,3564,3562
130,SEAGOVILLE,MUNICIPAL,C,KAUFMAN,Y,4,4,5,6,7,9
131,SHARYLAND WSC,MUNICIPAL,M,HIDALGO,N,8026,9722,11460,13252,15094,16896
134,SPRINGS HILL WSC,MUNICIPAL,L,GUADALUPE,N,1417,1621,1845,2080,2337,2594
136,SULPHUR SPRINGS,MUNICIPAL,D,HOPKINS,N,3196,3278,3360,3487,3635,3789
137,SWEETWATER,MUNICIPAL,G,NOLAN,N,1852,1893,1913,1977,2030,2079
139,TERRELL,MUNICIPAL,C,KAUFMAN,N,4035,7143,8638,10670,12372,14353
140,TEXARKANA,MUNICIPAL,D,BOWIE,N,12771,12960,12938,12865,12852,12851
144,TYLER,MUNICIPAL,D,SMITH,Y,192,214,239,272,311,359
144,TYLER,MUNICIPAL,I,SMITH,Y,20049,21331,22696,24331,26141,28031
152,WACO,MUNICIPAL,G,MCLENNAN,N,31576,33377,35005,36840,38861,40887
153,WALNUT CREEK SUD,MUNICIPAL,C,PARKER,Y,1455,1659,1921,2463,3635,4758
153,WALNUT CREEK SUD,MUNICIPAL,C,WISE,Y,290,376,465,566,835,1077
154,WAXAHACHIE,MUNICIPAL,C,ELLIS,N,6872,7741,9320,11299,13749,16715
155,WEATHERFORD,MUNICIPAL,C,PARKER,N,5307,6213,7273,11769,18457,26947
156,WEST CEDAR CREEK MUD,MUNICIPAL,C,HENDERSON,Y,674,675,676,677,807,1009
156,WEST CEDAR CREEK MUD,MUNICIPAL,C,KAUFMAN,Y,652,816,1005,1221,1614,2353
158,WEST HARRIS COUNTY REGIONAL WATER AUTHORITY,MUNICIPAL,H,FORT BEND,Y,1441,1449,1438,1436,1445,1457
158,WEST HARRIS COUNTY REGIONAL WATER AUTHORITY,MUNICIPAL,H,HARRIS,Y,71086,73202,77277,81779,83359,84827
160,WICHITA FALLS,MUNICIPAL,B,WICHITA,N,17357,17474,17544,17652,17922,18184
162,439 WSC,MUNICIPAL,G,BELL,N,1044,1134,1233,1351,1489,1644
163,ABERNATHY,MUNICIPAL,O,HALE,Y,528,539,540,532,545,550
163,ABERNATHY,MUNICIPAL,O,LUBBOCK,Y,184,200,217,236,255,274
164,ABLES SPRINGS WSC,MUNICIPAL,C,KAUFMAN,Y,319,399,491,597,721,862
164,ABLES SPRINGS WSC,MUNICIPAL,D,HUNT,Y,61,92,136,196,281,405
164,ABLES SPRINGS WSC,MUNICIPAL,D,VAN ZANDT,Y,3,3,3,3,4,4
165,ACTON MUD,MUNICIPAL,G,HOOD,Y,2862,4460,5497,6024,6631,7308
165,ACTON MUD,MUNICIPAL,G,JOHNSON,Y,56,76,98,122,149,177
166,ADDISON,MUNICIPAL,C,DALLAS,N,6002,7113,8235,9376,10536,11701
167,AGUA DULCE,MUNICIPAL,N,NUECES,N,132,139,143,145,148,150
168,ALAMO,MUNICIPAL,M,HIDALGO,N,3231,3909,4607,5326,6064,6787
169,ALAMO HEIGHTS,MUNICIPAL,L,BEXAR,N,2216,2268,2240,2227,2225,2225
170,ALBANY,MUNICIPAL,G,SHACKELFORD,N,640,673,662,662,661,661
171,ALEDO,MUNICIPAL,C,PARKER,N,822,1262,1900,1992,1991,1990
172,ALICE,MUNICIPAL,N,JIM WELLS,N,4192,4425,4643,4912,5175,5421
173,ALLEN,MUNICIPAL,C,COLLIN,N,20533,20336,20215,20139,20108,20106
174,ALPINE,MUNICIPAL,E,BREWSTER,N,1935,1944,1936,1934,1937,1940
175,ALTO,MUNICIPAL,I,CHEROKEE,N,249,266,284,308,335,366
176,ALTO RURAL WSC,MUNICIPAL,I,CHEROKEE,N,638,678,734,802,873,951
177,ALTON,MUNICIPAL,M,HIDALGO,N,2071,2524,2990,3464,3943,4413
178,ALVARADO,MUNICIPAL,G,JOHNSON,N,456,493,536,589,653,722
179,ALVIN,MUNICIPAL,H,BRAZORIA,N,4644,4866,5161,5587,6186,6983
180,ALVORD,MUNICIPAL,C,WISE,N,110,132,155,189,216,242
181,AMES,MUNICIPAL,H,LIBERTY,N,100,106,112,121,131,140
182,AMHERST,MUNICIPAL,O,LAMB,N,102,107,110,113,119,124
183,ANAHUAC,MUNICIPAL,H,CHAMBERS,N,267,260,255,254,257,261
185,ANDREWS,MUNICIPAL,F,ANDREWS,N,4270,5131,5906,6832,7930,9210
186,ANGLETON,MUNICIPAL,H,BRAZORIA,N,1964,1893,1835,1810,1816,1830
187,ANNA,MUNICIPAL,C,COLLIN,N,1898,2190,3588,4826,9167,13820
188,ANNETTA,MUNICIPAL,C,PARKER,N,152,179,208,238,270,302
189,ANNETTA SOUTH,MUNICIPAL,C,PARKER,N,63,60,58,57,57,57
190,ANSON,MUNICIPAL,G,JONES,N,367,375,378,388,397,405
191,ANTHONY,MUNICIPAL,E,EL PASO,N,734,852,965,1083,1201,1313
192,ANTON,MUNICIPAL,O,HOCKLEY,N,161,164,165,165,172,176
193,APPLEBY WSC,MUNICIPAL,I,NACOGDOCHES,N,655,718,783,858,941,1030
194,AQUA WSC,MUNICIPAL,G,LEE,Y,466,511,536,544,551,555
194,AQUA WSC,MUNICIPAL,K,BASTROP,Y,9228,11837,15313,20116,26683,35432
194,AQUA WSC,MUNICIPAL,K,FAYETTE,Y,4,5,5,5,6,6
194,AQUA WSC,MUNICIPAL,K,TRAVIS,Y,1089,1226,1363,1524,1672,1810
194,AQUA WSC,MUNICIPAL,L,CALDWELL,Y,285,340,396,453,512,570
195,ARANSAS PASS,MUNICIPAL,N,ARANSAS,Y,110,108,106,105,104,104
195,ARANSAS PASS,MUNICIPAL,N,NUECES,Y,3,3,3,3,3,3
195,ARANSAS PASS,MUNICIPAL,N,SAN PATRICIO,Y,1131,1148,1149,1155,1167,1176
196,ARCHER CITY,MUNICIPAL,B,ARCHER,N,280,271,264,260,259,259
197,ARCOLA,MUNICIPAL,H,FORT BEND,N,226,330,428,523,601,680
198,ARGYLE,MUNICIPAL,C,DENTON,N,1395,2064,2966,2961,2960,2959
199,ARGYLE WSC,MUNICIPAL,C,DENTON,N,996,991,990,990,989,989
200,ARLINGTON,MUNICIPAL,C,TARRANT,N,66936,69550,69852,69949,70108,70148
201,ARP,MUNICIPAL,I,SMITH,N,164,168,171,178,185,194
202,ASHERTON,MUNICIPAL,L,DIMMIT,N,341,359,374,390,280,287
203,ASPERMONT,MUNICIPAL,G,STONEWALL,N,250,245,242,242,241,241
204,ATASCOSA RURAL WSC,MUNICIPAL,L,BEXAR,N,1596,1875,2137,2399,2647,2877
205,ATHENS,MUNICIPAL,C,HENDERSON,Y,2916,3185,3411,3743,6415,9709
205,ATHENS,MUNICIPAL,I,HENDERSON,Y,57,59,62,66,69,73
206,ATLANTA,MUNICIPAL,D,CASS,N,1000,979,956,948,946,946
207,AUBREY,MUNICIPAL,C,DENTON,N,563,731,847,999,1197,1452
208,AURORA,MUNICIPAL,C,WISE,N,134,159,186,224,263,311
209,AZLE,MUNICIPAL,C,PARKER,Y,372,392,414,440,530,678
209,AZLE,MUNICIPAL,C,TARRANT,Y,1486,1566,1654,1758,2117,2712
210,BACLIFF MUD,MUNICIPAL,H,GALVESTON,N,539,516,506,514,521,528
211,BAILEY'S PRAIRIE,MUNICIPAL,H,BRAZORIA,N,89,90,89,90,92,94
212,BAIRD,MUNICIPAL,G,CALLAHAN,N,241,233,227,226,226,226
213,BALCH SPRINGS,MUNICIPAL,C,DALLAS,N,2750,2895,3067,3294,3547,3809
214,BALCONES HEIGHTS,MUNICIPAL,L,BEXAR,N,518,566,612,662,711,758
215,BALLINGER,MUNICIPAL,F,RUNNELS,N,690,688,671,669,668,668
217,BANDERA,MUNICIPAL,J,BANDERA,N,191,214,225,231,234,236
218,BANGS,MUNICIPAL,F,BROWN,N,207,204,198,195,194,194
219,BARDWELL,MUNICIPAL,C,ELLIS,N,71,86,105,129,158,348
220,BARTLETT,MUNICIPAL,G,BELL,Y,159,179,202,226,252,277
220,BARTLETT,MUNICIPAL,G,WILLIAMSON,Y,197,205,217,232,251,270
221,BARTON CREEK WEST WSC,MUNICIPAL,K,TRAVIS,N,432,427,424,423,422,422
222,BARTONVILLE,MUNICIPAL,C,DENTON,N,825,907,903,900,900,899
224,BASTROP,MUNICIPAL,K,BASTROP,N,1957,2598,3446,4612,6201,8317
225,BASTROP COUNTY WCID #2,MUNICIPAL,K,BASTROP,N,378,544,765,1069,1482,2033
226,BAY CITY,MUNICIPAL,K,MATAGORDA,N,2843,2895,2910,2955,2997,3032
227,BAYOU VISTA,MUNICIPAL,H,GALVESTON,N,276,270,265,262,262,262
228,BAYTOWN,MUNICIPAL,H,CHAMBERS,Y,653,747,844,955,1083,1221
228,BAYTOWN,MUNICIPAL,H,HARRIS,Y,9497,9330,9238,9258,9388,9544
229,BEACH CITY,MUNICIPAL,H,CHAMBERS,N,315,365,420,481,549,621
230,BEASLEY,MUNICIPAL,H,FORT BEND,N,78,82,93,109,133,166
231,BECKVILLE,MUNICIPAL,I,PANOLA,N,133,144,150,156,162,167
232,BEDFORD,MUNICIPAL,C,TARRANT,N,9139,9612,10121,10711,10694,10694
234,BEEVILLE,MUNICIPAL,N,BEE,N,2925,2978,2976,2961,2959,2960
235,BELL-MILAM FALLS WSC,MUNICIPAL,G,BELL,Y,344,356,371,390,411,432
235,BELL-MILAM FALLS WSC,MUNICIPAL,G,FALLS,Y,195,200,198,191,197,203
235,BELL-MILAM FALLS WSC,MUNICIPAL,G,MILAM,Y,255,264,269,279,290,300
235,BELL-MILAM FALLS WSC,MUNICIPAL,G,WILLIAMSON,Y,49,60,74,89,107,126
236,BELLAIRE,MUNICIPAL,H,HARRIS,N,3804,4045,4329,4669,5070,5514
237,BELLMEAD,MUNICIPAL,G,MCLENNAN,N,1241,1269,1296,1339,1397,1457
238,BELLS,MUNICIPAL,C,GRAYSON,N,175,199,223,254,588,783
239,BELLVILLE,MUNICIPAL,H,AUSTIN,N,1217,1286,1366,1468,1588,1722
240,BELTON,MUNICIPAL,G,BELL,N,3807,4306,4872,5480,6099,6715
241,BENAVIDES,MUNICIPAL,N,DUVAL,N,236,242,250,259,266,272
242,BENBROOK,MUNICIPAL,C,TARRANT,N,5205,5659,6130,7258,10605,10605
243,BENTON CITY WSC,MUNICIPAL,L,ATASCOSA,Y,991,1116,1235,1357,1476,1588
243,BENTON CITY WSC,MUNICIPAL,L,FRIO,Y,62,67,71,76,80,84
243,BENTON CITY WSC,MUNICIPAL,L,MEDINA,Y,558,653,735,809,878,939
244,BERRYVILLE,MUNICIPAL,I,HENDERSON,N,118,124,128,137,147,156
245,BERTRAM,MUNICIPAL,K,BURNET,N,410,488,554,619,677,728
246,BETHANY WSC,MUNICIPAL,G,JOHNSON,N,367,396,430,472,524,581
247,BETHEL-ASH WSC,MUNICIPAL,C,HENDERSON,Y,218,237,254,280,303,327
247,BETHEL-ASH WSC,MUNICIPAL,D,VAN ZANDT,Y,94,118,136,155,172,186
247,BETHEL-ASH WSC,MUNICIPAL,I,HENDERSON,Y,325,354,380,419,455,491
248,BETHESDA WSC,MUNICIPAL,C,TARRANT,Y,1903,2093,2289,2491,2705,2917
248,BETHESDA WSC,MUNICIPAL,G,JOHNSON,Y,3259,3679,4126,4641,5218,5841
249,BEVERLY HILLS,MUNICIPAL,G,MCLENNAN,N,252,261,268,281,297,312
250,BEVIL OAKS,MUNICIPAL,I,JEFFERSON,N,135,137,139,147,157,169
252,BIG LAKE,MUNICIPAL,F,REAGAN,N,731,796,835,878,907,929
254,BIG SANDY,MUNICIPAL,D,UPSHUR,N,223,234,243,255,268,280
255,BIG SPRING,MUNICIPAL,F,HOWARD,N,6149,6288,6299,6248,6238,6237
256,BIG WELLS,MUNICIPAL,L,DIMMIT,N,174,181,185,192,138,141
257,BISHOP,MUNICIPAL,N,NUECES,N,594,628,646,660,673,682
259,BITTER CREEK WSC,MUNICIPAL,G,FISHER,Y,112,108,104,104,104,104
259,BITTER CREEK WSC,MUNICIPAL,G,NOLAN,Y,162,164,165,170,175,179
260,BLACKLAND WSC,MUNICIPAL,C,ROCKWALL,Y,671,705,747,793,850,911
260,BLACKLAND WSC,MUNICIPAL,D,HUNT,Y,7,7,7,7,7,7
261,BLANCO,MUNICIPAL,K,BLANCO,N,365,423,456,473,486,494
263,BLOOMING GROVE,MUNICIPAL,C,NAVARRO,N,153,164,175,191,209,228
264,BLOSSOM,MUNICIPAL,D,LAMAR,N,138,136,134,134,135,137
265,BLUE BELL MANOR UTILITY COMPANY,MUNICIPAL,H,HARRIS,N,646,656,681,715,754,788
266,BLUE MOUND,MUNICIPAL,C,TARRANT,N,191,181,172,167,167,167
267,BLUE RIDGE,MUNICIPAL,C,COLLIN,N,92,185,362,1412,3221,5461
268,BOERNE,MUNICIPAL,L,KENDALL,N,3091,3985,4942,5900,6889,7863
269,BOGATA,MUNICIPAL,D,RED RIVER,N,122,116,112,112,111,111
271,BOLIVAR WSC,MUNICIPAL,C,COOKE,Y,146,150,153,159,164,169
271,BOLIVAR WSC,MUNICIPAL,C,DENTON,Y,848,985,1160,1369,1625,1921
271,BOLIVAR WSC,MUNICIPAL,C,WISE,Y,111,122,134,150,168,187
272,BONHAM,MUNICIPAL,C,FANNIN,N,2024,2506,3393,4598,5663,6883
273,BOOKER,MUNICIPAL,A,LIPSCOMB,Y,496,547,576,618,648,674
273,BOOKER,MUNICIPAL,A,OCHILTREE,Y,7,10,13,17,21,26
274,BOVINA,MUNICIPAL,O,PARMER,N,373,402,429,458,496,531
275,BOWIE,MUNICIPAL,B,MONTAGUE,N,927,935,929,934,942,949
276,BOYD,MUNICIPAL,C,WISE,N,217,229,316,392,547,593
277,BRACKETTVILLE,MUNICIPAL,J,KINNEY,N,539,534,527,526,525,525
278,BRADY,MUNICIPAL,F,MCCULLOCH,N,1389,1418,1399,1408,1410,1412
279,BRANDON-IRENE WSC,MUNICIPAL,C,ELLIS,Y,11,14,16,20,24,29
279,BRANDON-IRENE WSC,MUNICIPAL,C,NAVARRO,Y,29,30,32,35,38,42
279,BRANDON-IRENE WSC,MUNICIPAL,G,HILL,Y,256,262,265,273,281,287
280,BRAZORIA,MUNICIPAL,H,BRAZORIA,N,318,313,309,308,312,316
282,BRAZORIA COUNTY MUD #2,MUNICIPAL,H,BRAZORIA,N,2199,2190,2185,2183,2183,2184
283,BRAZORIA COUNTY MUD #3,MUNICIPAL,H,BRAZORIA,N,566,558,560,565,572,584
286,BRECKENRIDGE,MUNICIPAL,G,STEPHENS,N,1012,1020,1013,1011,1017,1022
287,BREMOND,MUNICIPAL,G,ROBERTSON,N,189,201,213,229,244,260
288,BRENHAM,MUNICIPAL,G,WASHINGTON,N,4079,4359,4542,4747,4922,5070
290,BRIDGE CITY,MUNICIPAL,I,ORANGE,N,733,722,709,716,724,731
291,BRIDGEPORT,MUNICIPAL,C,WISE,N,1294,1551,1822,2496,3322,4149
295,BROOKESMITH SUD,MUNICIPAL,F,BROWN,Y,1185,1181,1156,1142,1139,1139
295,BROOKESMITH SUD,MUNICIPAL,F,COLEMAN,Y,6,6,6,6,6,6
295,BROOKESMITH SUD,MUNICIPAL,K,MILLS,Y,8,8,8,8,8,8
296,BROOKSHIRE,MUNICIPAL,H,WALLER,N,663,782,921,1080,1262,1460
297,BROOKSIDE VILLAGE,MUNICIPAL,H,BRAZORIA,N,198,207,258,325,406,504
298,BROWNFIELD,MUNICIPAL,O,TERRY,N,1793,1854,1923,2000,2087,2172
299,BROWNSBORO,MUNICIPAL,I,HENDERSON,N,218,260,295,343,386,428
300,BROWNSVILLE,MUNICIPAL,M,CAMERON,N,36092,41913,47986,54797,62040,69520
301,BROWNWOOD,MUNICIPAL,F,BROWN,N,3755,3750,3677,3636,3629,3629
302,BRUCEVILLE-EDDY,MUNICIPAL,G,FALLS,Y,1,1,1,1,1,1
302,BRUCEVILLE-EDDY,MUNICIPAL,G,MCLENNAN,Y,292,307,322,338,357,376
303,BRUSHY CREEK MUD,MUNICIPAL,G,WILLIAMSON,N,4366,4693,4659,4639,4635,4634
304,BRUSHY CREEK WSC,MUNICIPAL,I,ANDERSON,Y,238,233,225,220,219,219
304,BRUSHY CREEK WSC,MUNICIPAL,I,HENDERSON,Y,65,66,67,70,74,78
305,BRYAN,MUNICIPAL,G,BRAZOS,N,15696,16243,20342,23492,26926,30652
306,BRYSON,MUNICIPAL,C,JACK,N,80,82,83,84,85,85
307,BUDA,MUNICIPAL,K,HAYS,Y,1769,2508,3420,4564,5860,7338
307,BUDA,MUNICIPAL,L,HAYS,Y,299,388,499,639,798,979
308,BUENA VISTA - BETHEL SUD,MUNICIPAL,C,ELLIS,N,1249,1509,1772,2173,3119,4154
309,BUFFALO,MUNICIPAL,H,LEON,N,374,375,375,381,389,397
310,BULLARD,MUNICIPAL,I,CHEROKEE,Y,11,12,13,14,15,16
310,BULLARD,MUNICIPAL,I,SMITH,Y,654,827,1002,1193,1390,1592
312,BUNKER HILL VILLAGE,MUNICIPAL,H,HARRIS,N,1626,1734,1856,1995,2152,2323
313,BURKBURNETT,MUNICIPAL,B,WICHITA,N,1481,1480,1477,1482,1503,1525
314,BURLESON,MUNICIPAL,C,TARRANT,Y,1305,1331,1459,2030,2459,2747
314,BURLESON,MUNICIPAL,G,JOHNSON,Y,5315,6333,7298,7920,8782,9855
315,BURNET,MUNICIPAL,K,BURNET,N,1848,2202,2502,2796,3060,3291
317,CADDO BASIN SUD,MUNICIPAL,C,COLLIN,Y,279,321,418,516,618,720
317,CADDO BASIN SUD,MUNICIPAL,D,HUNT,Y,707,898,1168,1555,2118,2939
318,CADDO MILLS,MUNICIPAL,D,HUNT,N,153,187,237,310,417,574
319,CALDWELL,MUNICIPAL,G,BURLESON,N,1027,1043,1073,1073,1091,1108
320,CALHOUN COUNTY WS,MUNICIPAL,L,CALHOUN,N,356,376,398,425,457,490
321,CALVERT,MUNICIPAL,G,ROBERTSON,N,190,183,180,180,179,179
322,CAMERON,MUNICIPAL,G,MILAM,N,1359,1409,1441,1500,1556,1612
323,CAMP WOOD,MUNICIPAL,J,REAL,N,134,131,128,127,126,126
324,CAMPBELL,MUNICIPAL,D,HUNT,N,53,65,83,106,140,189
326,CANADIAN,MUNICIPAL,A,HEMPHILL,N,786,866,934,1009,1079,1145
328,CANTON,MUNICIPAL,D,VAN ZANDT,N,961,1032,1085,1143,1196,1242
329,CANYON,MUNICIPAL,A,RANDALL,N,3633,3982,4343,4736,5179,5643
331,CARRIZO SPRINGS,MUNICIPAL,L,DIMMIT,N,2270,2402,2479,2581,1856,1903
332,CARROLLTON,MUNICIPAL,C,COLLIN,Y,1,2,2,3,3,4
332,CARROLLTON,MUNICIPAL,C,DALLAS,Y,9262,9065,8914,8830,8813,8812
332,CARROLLTON,MUNICIPAL,C,DENTON,Y,14303,14437,14196,14062,14036,14034
334,CASTLE HILLS,MUNICIPAL,L,BEXAR,N,395,375,359,351,350,349
335,CASTROVILLE,MUNICIPAL,L,MEDINA,N,794,787,780,778,781,784
337,CELESTE,MUNICIPAL,D,HUNT,N,122,145,178,227,299,403
338,CELINA,MUNICIPAL,C,COLLIN,Y,4574,8900,15008,23121,23119,23117
